OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
22,91400098,NON-REVENUE WATER MANAGEMENT PROJECT              ,CLOSED,GS   (GEN SERV),,2016/06/07 00:00:00+00,151925,243079,4203,CAVANAUGH & ASSOCIATES PA,21
23,91400156,EAGLE MARKET PLACE CONSTRUCTION OVERSIGHT         ,CLOSED,PRO  (PRO SERVIC),,2015/06/16 00:00:00+00,49500,49500,4574,KIMLEY-HORN AND ASSOCIATES,22
24,91500286,FORM BASED CODE FOR RIVER ARTS DISTRICT           ,CLOSED,GS   (GEN SERV),,2020/06/16 00:00:00+00,99980,97259.59,16962,"CODE STUDIO, INC.",23
25,91400217,DOWNTOWN CLEAN AND GREEN CONTRACT                 ,CLOSED,GS   (GEN SERV),,2014/06/19 00:00:00+00,45600,57209.15,18553,"DEANGELO BROTHERS, INC.",24
26,92100356,UPGRADE LIGHTING AT BALLFIELDS                    ,CLOSED,GS   (GEN SERV),,2021/08/09 00:00:00+00,44885,44885,27294,MUSCO SPORTS LIGHTING,25
27,92200102,VIRTUAL HARASSMENT TRAINING                       ,CLOSED,GS   (GEN SERV),,2021/07/16 00:00:00+00,17542.98,17542.98,28140,MEDIA PARTNERS CORP,26
28,91100621,FY11 MAINTENANCE HP LASERJET 8150HDN - PAYROLL    ,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,240,63.61,6106,DURALINE IMAGING INC,27
29,91200097,TIGER II E. RIVER PUBLIC PARTICIPATION GO         ,CLOSED,GS   (GEN SERV),,2014/07/31 00:00:00+00,20000,21376.4,9012,GREEN OPPORTUNITIES INC,28
30,91400061,RISK MANAGEMENT CONSULTANT SERVICES 2013-14       ,CLOSED,GS   (GEN SERV),,2015/06/08 00:00:00+00,12000,3052.5,17071,"COMMERCIAL INSURANCE CONSULTANTS, INC.",29
31,91900301,FY 19 GUARDRAIL INSTALLATION AND MAINTENANCE      ,CLOSED,CON  (CONSTUCT/R),,2021/06/15 00:00:00+00,80750,71311.7,19978,"BULLINGTON CONSTRUCTION, INC.",30
32,91600218,                                                  ,CLOSED,GS   (GEN SERV),,2017/06/26 00:00:00+00,8064,20160,21537,"DUDE SOLUTIONS, INC.",31
33,92200002,MASTER CONTRACT RENTAL EQUIPMENT                  ,POSTED,RNT  (EQUIP RENT),,2021/08/23 00:00:00+00,85000,85000,23888,"HILLS MACHINERY COMPANY,LLC",32
34,91500251,INSTALLATION AND MAINTENANCE OF DIGITAL MENU BOARD,CLOSED,GS   (GEN SERV),,2016/12/19 00:00:00+00,80000,77901.44,20306,HYPERSIGN LLC,33
35,91900249,SHILOH ROOF REPLACEMENT                           ,CLOSED,CON  (CONSTUCT/R),,2020/06/04 00:00:00+00,381200,369553.23,27597,AAR OF NORTH CAROLINA INC,34
36,91200213,FY12 MAINTENANCE ON AFD MOSCAD SYSTEM             ,CLOSED,GS   (GEN SERV),,2012/07/31 00:00:00+00,42585.96,42585.96,11516,"MOTOROLA SOLUTIONS, INC.",35
37,91000491,CONSTRUCTION OF ASTON PARK PLAYGROUND AREA        ,CLOSED,CON  (CONSTUCT/R),,2010/04/12 00:00:00+00,44687,44687,585,CAROLINA CORNERSTONE CONSTRUCT,36
38,91300267,VANCE CRESCENT ST. - OLNEY RD SIDEWALK IMPROVEMNTS,CLOSED,CON  (CONSTUCT/R),,2014/04/15 00:00:00+00,192000,182403.76,10431,ARMEN CONSTRUCTION LLC.,37
39,91500230,INSTALL IRRIGATION-HOLES 10-18 MUNI. GOLF COURSE  ,CLOSED,CON  (CONSTUCT/R),,2015/08/06 00:00:00+00,365000,365000,20274,"FIELD CONSTRUCTION SERVICES, INC.",38
40,91100480,PUPPET SHOW AT HOWL-O-WEEN                        ,CLOSED,GS   (GEN SERV),,2010/09/30 00:00:00+00,250,250,7306,MOUNTAIN MARIONETTES,39
41,92100193,GEN OP SUPPORT OF SPORTS COMMISSION PROGRAMS      ,CLOSED,GS   (GEN SERV),,2021/06/29 00:00:00+00,45000,45000,12914,ASHEVILLE-BUNCOMBE REGIONAL SPORTS COMMISSION,40
42,92100275,BURTON ST PARKS AND REC WIFI PROJECT              ,CLOSED,GS   (GEN SERV),,2021/01/15 00:00:00+00,18001.97,18001.97,21051,"BROOKS NETWORK SERVICES, LLC",41
43,91000567,TENNIS TOURNAMENT OFFICIAL                        ,CLOSED,GS   (GEN SERV),,2010/05/18 00:00:00+00,250,250,5720,JUDY EUBANKS,42
44,92000502,LETTER OF AGREEMENT FOR SOG BECHMARKING PROJECT   ,CLOSED,GS   (GEN SERV),,2020/06/18 00:00:00+00,10000,10000,5763,SCHOOL OF GOVERNMENT,43
45,92100466,METASYS SERVICE CONTRACT FOR HCCA AUTOMATION SYSTE,CLOSED,GS   (GEN SERV),,2021/08/03 00:00:00+00,13410,13410,5519,"JOHNSON CONTROLS, INC.",44
46,91900308,GREEN OPPORTUNITIES EXPANDING EMPLOY FY 18-19     ,CLOSED,HUD (GEN SERV-HUD),CDBG,2020/06/15 00:00:00+00,150000,150000,9012,GREEN OPPORTUNITIES INC,45
47,92100383,PEBBLE CREEK STREAM STABILIZATION'                ,POSTED,CON  (CONSTUCT/R),,2021/11/01 00:00:00+00,354816,354816,33805,AUSTIN CONSTRUCTION AND GRADING COMPANY,46
48,91800316,TRANSFER OF SLUDGE RESIDUALS FROM WATER PLANTS    ,CLOSED,GS   (GEN SERV),,2018/05/25 00:00:00+00,49535,49395,8364,"EMA RESOURCES, INC",47
49,91100302,HELP SET UP STAGES FOR BELE CHERE 10              ,CLOSED,GS   (GEN SERV),,2010/08/06 00:00:00+00,1615.32,1615.32,3353,I A T S E LOCAL 278,48
50,92100517,POOL RENTAL AGREEMENT                             ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,25520,25520,2926,Y W C A,49
51,91100586,DOOR REPAIRS IN THE PARKING GARAGES               ,CLOSED,GS   (GEN SERV),,2013/07/24 00:00:00+00,5000,4474.09,1343,ICI DOOR CONTROL,50
52,92000341,                                                  ,CLOSED,GS   (GEN SERV),,2020/02/12 00:00:00+00,7490.28,7490.28,10512,"BP SOLUTIONS GROUP, INC.",51
53,91900227,PROVIDE STORMWATER POLLUTION PREVENTION PERMIT NCG,CLOSED,PRO  (PRO SERVIC),,2021/05/14 00:00:00+00,7000,6973.44,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",52
54,91700212,APPALACHIAN SUST AG SUSTAINABLE AG PROD FY 16-17  ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/06/07 00:00:00+00,5000,4914.2,19645,APPALACHIAN SUSTAINAINABLE AGRICULTURE PROJECT,53
55,91900275,PAINT EXTERIOR SIDING OF BUILDING                 ,CLOSED,GS   (GEN SERV),,2020/02/25 00:00:00+00,6000,6000,31351,ERICK LEE,54
56,92000096,RICHMOND HILL RESTROOM & PAVILLION                ,CLOSED,CON  (CONSTUCT/R),,2019/09/27 00:00:00+00,336228,0,32900,"WTAPS, LLC",55
57,92100308,WEAVER PARK BRIDGE ENGINEERING                    ,POSTED,PRO  (PRO SERVIC),EXEMPTION,2021/08/20 00:00:00+00,43970,43970,36326,"FLOODFOCUS ENGINEERING, INC.",56
58,91700121,2- QUALITY STEEL TANKS   1450 GAL. FOR SPIVEY MOUN,CLOSED,GS   (GEN SERV),,2017/05/10 00:00:00+00,15228,14231.78,8768,SOUTHERN STATES COOPERATIVE,57
59,91100670,REPAIR OF SUBMERSIBLE INTAKE PUMPS MR WTP         ,CLOSED,GENERAL,,2012/06/29 00:00:00+00,9451.85,6859,8157,ITT WATER & WASTEWATER USA,58
60,91100427,REAL ESTATE ADVISORY SERVICES FOR DOWNTOWN PARKING,CLOSED,GS   (GEN SERV),,2013/10/11 00:00:00+00,15000,15000,7919,"REAL ESTATE RESEARCH CONSULTANTS, INC.",59
61,91100055,STAFFING BEVERAGE STATION                         ,CLOSED,GS   (GEN SERV),,2010/07/01 00:00:00+00,5000,5000,7221,CATALOOCHEE SKI PATROL,60
62,92000150,19-20 SPF FOR YWCA SWIM EQUITY                    ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,8335,8335,2926,Y W C A,61
63,92000239,MCCORMICK FIELD WATER LINES                       ,CLOSED,CON  (CONSTUCT/R),,2019/11/06 00:00:00+00,26000,26000,12971,T. P. HOWARDS PLUMBING CO INC,62
64,91100170,SUMMER CAMP FACILITATOR - JEFF MENZER WEEK 9      ,CLOSED,INS  (INSTRUCTOR),,2010/07/14 00:00:00+00,1550,1550,7544,JT MENZER DBA THE NATURAL GARDENER,63
65,91500116,INSTALL NEW BACKFLOW FOR USCC                     ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,8482,8482,7265,SIMPLEXGRINNELL,64
66,91800411,AGREEMENT FOR THE 2017 WINTER LIGHTS EVENT        ,CLOSED,GS   (GEN SERV),SERVICE,2018/07/19 00:00:00+00,7000,7000,6812,NC ARBORETUM SOCIETY,65
67,92000273,CAYLA CONSULTING CONTRACT                         ,POSTED,GS   (GEN SERV),SERVICE,2021/08/20 00:00:00+00,16000,16000,10235,ERIKA GERMER,66
68,91600333,ENGINEERING FOR PERMIT- WNCNC ENTRY CONSTRUCTION  ,CLOSED,PRO  (PRO SERVIC),,2018/05/21 00:00:00+00,49885,49885,14496,"HAIZLIP STUDIO, PLLC",67
69,91300094,SOIL TRANSPORTATION TO REPUBLIC LANDFILL IN SC    ,CLOSED,LW   (DON'T USE),,2013/01/07 00:00:00+00,42500,42350,14080,"A&D ENVIRONMENTAL SERVICES, INC.",68
70,91600335,GRAPHIC DESIGN RETAINER                           ,CLOSED,GS   (GEN SERV),,2017/06/06 00:00:00+00,1560,1560,24937,SLATE COMMUNICATIONS,69
71,92000475,SHELBOURNE ROOF AND ENVELOPE                      ,CLOSED,CON  (CONSTUCT/R),,2021/06/29 00:00:00+00,632500,617424,30700,"J BARTHOLOMEW CONSTRUCTION, LLC",70
72,91000510,NEED CONTRACT TO COMPLETE FY10                    ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,642.09,642.09,5986,G & K SERVICES,71
73,92200079,AVL 5X5 CAPITAL SUPPORT FOR EDC                   ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,40000,40000,35,ASHEVILLE CHAMBER OF COMMERCE,72
74,91000277,                                                  ,CLOSED,GS   (GEN SERV),,2010/02/15 00:00:00+00,750,750,10095,"NOLAND, RAY",73
75,91900281,FRENCH BROAD RIVER GREENWAY WEST .                ,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2021/06/08 00:00:00+00,12385,12385,15977,"STEWART ENGINEERING, INC.",74
76,91700031,200 BINGHAM ROAD - ARCHITECT PHASE II             ,CLOSED,PRO  (PRO SERVIC),,2018/05/24 00:00:00+00,73000,89500,16964,"MCMILLAN PAZDAN SMITH, LLC",75
77,91600140,LEARNING CENTER - CHILDREN FIRST SPF GRANT FY15-16,CLOSED,GS   (GEN SERV),,2016/08/01 00:00:00+00,20000,20000,3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE,76
78,91400184,"FLOODLIGHT, POLE LAMPS AND LED FIXTURES- BEE TREE ",CLOSED,GS   (GEN SERV),,2014/02/24 00:00:00+00,5500,5500,1650,"BOLTON CONSTRUCTION AND SERVICE OF WNC, INC.",77
79,91300231,ASTON PARK TENNIS COURT REBUILD                   ,CLOSED,CON  (CONSTUCT/R),,2013/05/20 00:00:00+00,40000,37900,16068,"RECREATIONAL VENTURES, INC.",78
80,91200112,STRUCTURAL CONSTRUCTION DOCUMENTS                 ,CLOSED,PRO  (PRO SERVIC),,2012/06/27 00:00:00+00,925,625,11892,"TWIN HILLS STRUCTURES, PLLC",79
81,91900079,MDTMT - YOUTH IN PUBLIC HOUSING DISP FY 18-19     ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2020/06/12 00:00:00+00,20000,19998,25937,KL TRAINING SOLUTIONS,80
82,92200115,JAKE RUSHER PARK - PUBLIC ART                     ,POSTED,GS   (GEN SERV),,2021/07/27 00:00:00+00,40000,40000,36743,BB LAB,81
83,91800435,SHILOH ROOF ASSESSMENT AND DESIGN                 ,CLOSED,PRO  (PRO SERVIC),,2020/02/06 00:00:00+00,29230,29230,11797,"REI ENGINEERS, INC.",82
84,91800387,MGNT DEVELOPMENT AND PERFORMANCE ACCOUNTABILITY   ,CLOSED,GS   (GEN SERV),,2018/07/06 00:00:00+00,7000,7000,29818,STEPHEN S. KAAGAN,83
85,91900263,PARKING ACCESS CONSULTING SERVICES                ,CLOSED,GS   (GEN SERV),,2020/06/02 00:00:00+00,45000,32749.82,31402,"WGI, INC",84
86,91100192,ATHLETIC OFFICIAL                                 ,CLOSED,GS   (GEN SERV),,2013/10/04 00:00:00+00,5000,2846,6366,SEAN EUBANKS,85
87,92000223,19-20 DIRECT ALLOCATION TO ACSF IN REAL LIFE      ,CLOSED,GS   (GEN SERV),,2021/06/07 00:00:00+00,45000,45000,10229,THE ASHEVILLE CITY SCHOOLS FOUNDATION,86
88,91600221,TEMP EMPLOYEE                                     ,CLOSED,GS   (GEN SERV),,2016/08/09 00:00:00+00,10000,12156.02,23850,"APEX SYSTEMS, LLC",87
89,91600284,EVALUATE & DESIGN MCCORMICK FIELD STADIUM         ,CLOSED,PRO  (PRO SERVIC),,2017/03/24 00:00:00+00,180000,156769.86,24482,"NOVUS BEW ASHEVILLE, LLC",88
90,91900375,RETROFIT 2 EMPLOYEE ENTRY DOORS                   ,CLOSED,GS   (GEN SERV),,2020/06/23 00:00:00+00,5290.23,4944.14,2904,WHOLESALE GLASS & MIRROR CO.,89
91,91600325,REPLACE 75' BALLFIELD LIGHT POLE-BULLMAN          ,CLOSED,CON  (CONSTUCT/R),,2017/05/26 00:00:00+00,11175,11175,1188,M B HAYNES CORPORATION,90
92,91400204,REMODEL OF TOURIST LOCKERROOM                     ,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,6995,6780,10875,"A.B.B.E. CONSTRUCTION AND REMODELING, LLC",91
93,92100277,AMENDMENT 1 ADDING FURTHER GEOTECH                ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,16720,50000,22628,"JOHN DAVENPORT ENGINEERING, INC.",92
94,91300194,VEHICLE MAINTENANCE                               ,CLOSED,GS   (GEN SERV),,2013/01/30 00:00:00+00,10000,30000,2340,SKYLAND VOLUNTEER FIRE DEPT,93
95,92000348,MCCORMICK EXPLORATORY LINE                        ,CLOSED,CON  (CONSTUCT/R),,2020/08/10 00:00:00+00,7004.5,7004.5,12971,T. P. HOWARDS PLUMBING CO INC,94
96,91000237,PEST CONTROL FOR NORTH FORK WTP JAN-DEC 2010      ,CLOSED,GS   (GEN SERV),,2010/12/17 00:00:00+00,540,558.16,2562,TERMINIX SERVICE,95
97,91100445,GPS DATA COLLECTION FOR AMR PROJECT               ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,112000,112258.44,10139,"MUELLER SYSTEMS, LLC",96
98,91800197,ONTRACK FINANCIAL EDUCATION SPF FY 17-18          ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/08/07 00:00:00+00,12000,12000,560,ONTRACK FINANCIAL ED & COUNSEL,97
99,91800348,OPEN SWIM TIME                                    ,CLOSED,GS   (GEN SERV),SERVICE,2018/07/17 00:00:00+00,7500,7500,2926,Y W C A,98
100,91100835,REPAIR/RELOCATE RECEPTACLES - PACK SQUARE         ,CLOSED,GS   (GEN SERV),,2012/08/30 00:00:00+00,24600,24600,9226,C.T. RING ELECTRICAL CONTRACTING INC.,99
101,92100136,THE BLUE HORIZONS PROJECT                         ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,100000,100000,10119,GREEN BUILT ALLIANCE,100
102,91500029,CRAVEN STREET IMPROVEMENTS                        ,CLOSED,CON  (CONSTUCT/R),,2018/05/31 00:00:00+00,6901570.66,7115425.62,19199,TENNOCA CONSTRUCTION CO.,101
103,91200337,6TH FLOOR CITY HALL CARPETING                     ,CLOSED,GS   (GEN SERV),,2014/05/19 00:00:00+00,4966,6354.38,2959,PROFESSIONAL BUSINESS INTERIOR** DO NOT USE**,102
104,91700156,ASHEVILLE AREA HABITAT DIRECT HOMEBUYER FY 16-17  ,CLOSED,HUD (GEN SERV-HUD),HOME,2017/06/26 00:00:00+00,50000,50000,41,ASHEVILLE AREA HABITAT FOR HUM,103
105,91400173,LAKE CRAIG/AZALEA ROAD CONSTRUCTION               ,CLOSED,CON  (CONSTUCT/R),,2014/08/05 00:00:00+00,4124110.75,631746.89,5264,YOUNG & MCQUEEN GRADING CO.,104
106,91200175,RISK MANAGEMENT CONSULTING                        ,CLOSED,GS   (GEN SERV),,2014/09/11 00:00:00+00,20000,19883.8,7710,ESSES CONSULTING,105
107,91100601,LETTER OPENER LEASE L1177-EXT-3                   ,CLOSED,LS   (LEASE SVCS),,2012/08/30 00:00:00+00,660,2640,3394,ONTARIO INVESTMENTS INC,106
108,91100786,GREENWORKS OUTSIDE AGENCY GRANT 2010-11           ,CLOSED,GS   (GEN SERV),,2011/04/28 00:00:00+00,8000,8000,2142,ASHEVILLE GREENWORKS,107
109,91500166,BOWEN NATIONAL - CON PLAN MARKET STUDY            ,CLOSED,GS   (GEN SERV),,2015/06/20 00:00:00+00,29750,29750,19827,"BOWEN NATIONAL RESEARCH, LLC",108
110,92100452,LOBBYIST                                          ,POSTED,GS   (GEN SERV),,2022/01/07 00:00:00+00,76000,112000,24005,"BLANCHARD,  MILLER, LEWIS & ISLEY PA",109
111,91000217,CHANGE ORDER TO PO 82784 FOR ENVIRONMENTAL SERVICE,CLOSED,PRO  (PRO SERVIC),,2010/08/19 00:00:00+00,1900,1900,4723,EDWARDS-PITMAN ENVIRONMENTAL,110
112,91100616,REPAIR COLUMN & STONE WALL AT WT WEAVER BLVD      ,CLOSED,GS   (GEN SERV),,2011/02/18 00:00:00+00,824,1265,442,RON BURLESON,111
113,91200047,CRIMESTOPPERS FY'2012-INTERLOCAL AGREEMENT        ,CLOSED,GS   (GEN SERV),,2013/01/29 00:00:00+00,39902,38631.55,416,BUNCOMBE COUNTY FINANCE DEPT,112
114,91000590,LANDSCAPING FOR MILLS RIVER WATER TREATMENT PLANT ,CLOSED,GENERAL,,2010/06/02 00:00:00+00,2076.47,2076.47,10266,BLUE RIDGE LANDSCAPING & LAWN MAINTENANCE,113
115,92200190,STREAM MONITORING GAUGES                          ,POSTED,GS   (GEN SERV),AGREEMENT,2021/10/01 00:00:00+00,17400,17400,2722,DOI US GEOLOGICAL SURVEY,114
116,92200005,MASTER CONTRACT RENTAL EQUIPMENT                  ,POSTED,RNT  (EQUIP RENT),,2021/08/20 00:00:00+00,85000,85000,238,"UNITED RENTALS(NORTH AMERICA),INC",115
117,91900304,REFURBISH 19 BALL FIELDS                          ,CLOSED,GS   (GEN SERV),,2019/06/28 00:00:00+00,26850,33000,30133,"TURFPLANER OF CAROLINA, LLC",116
118,92000353,REPLACE PROCESS TEMP CONTROL BEETREE WTP          ,CLOSED,GS   (GEN SERV),,2020/06/15 00:00:00+00,7537.08,7044,782,DOVER INSULATION INC.,117
119,91800284,YWCA OF ASHEVILLE - EMPOWERMENT CHILDCARE FY 17-18,CLOSED,HUD (GEN SERV-HUD),CDBG,2018/06/07 00:00:00+00,18906,18905.99,2926,Y W C A,118
120,91000145,21 CCLC ENRICHMENT INSTRUCTION                    ,CLOSED,INS  (INSTRUCTOR),,2010/01/14 00:00:00+00,2312.5,2312.5,9016,MICHAEL D HOLTON,119
121,91800373,RIPARIAN PLAN FOR RIVER ARTS DISTRICT             ,CLOSED,GS   (GEN SERV),,2018/07/19 00:00:00+00,50000,50000,14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC",120
122,92100453,TRANSMISSION MAIN FLUSHING PHASE 3                ,POSTED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2021/08/20 00:00:00+00,55000,55000,16675,"HAZEN AND SAWYER, D P.C.",121
123,92100409,GENERAL HEAVY TRUCK REPAIRS                       ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,29999.99,29999.99,20993,MHC KENWORTH ASHEVILLE,122
124,91900459,RISK ACTUARIAL SERVICES                           ,CLOSED,RISK - HR / INS,,2021/06/10 00:00:00+00,5000,9000,32566,FINANCIAL RISK ANALYSTS,123
125,91900108,MUNIS/4J'S YEAR 4 OF 5                            ,POSTED,GS   (GEN SERV),,2022/02/02 00:00:00+00,179517.89,782655.71,6735,TYLER TECHNOLOGIES/MUNIS DIVIS,124
126,91100203,STAFF BEER AND WRISTBAND SALE LOCATIONS           ,CLOSED,GS   (GEN SERV),,2010/07/19 00:00:00+00,2000,2000,4120,BENEVOLENT PATRIOTIC ORDER OF DOES,125
127,92200222,FY 21/22 GBTTB PROJECT LIGHTEN UP                 ,POSTED,HUD (GEN SERV-HUD),CDBG,2021/11/01 00:00:00+00,10000,10000,8976,"GETTING BACK TO THE BASICS, INC.",126
128,91000253,NETWORK SECURITY SERVICES                         ,CLOSED,GS   (GEN SERV),,2013/08/19 00:00:00+00,4950,26750,10063,"PRINCIPLE LOGIC, LLC",127
129,91200253,LANDSCAPE ARCHITECTURE SERVICES                   ,CLOSED,PRO  (PRO SERVIC),,2013/06/25 00:00:00+00,25000,29420.03,13324,"MARY WEBER LANDSCAPE ARCHITECTURE,PLLC",128
130,92000324,CRIMESTOPPERS FY 19-20 CONTINUATION OF SERVICES   ,CLOSED,GS   (GEN SERV),,2021/04/22 00:00:00+00,45237,43970.86,416,BUNCOMBE COUNTY FINANCE DEPT,129
131,92100335,MHO - JASPER HOMESTEAD LLC APARTMENTS             ,POSTED,HUD (GEN SERV-HUD),HOME,2021/08/20 00:00:00+00,400000,400000,36513,"JASPER HOMESTEAD, LLC",130
132,91800382,VIDEO CAMERAS ON 4TH FLOOR CC GARAGE              ,CLOSED,GS   (GEN SERV),,2019/06/10 00:00:00+00,6500,5834,4003,EDWARDS EQUIPMENT CO INC,131
133,91100472,ATHLETIC OFFICIAL - VAN VAN HORNE                 ,CLOSED,INS  (INSTRUCTOR),,2013/01/30 00:00:00+00,500,1288,11166,"VAN HORN, VAN",132
134,92100207,"ART TRANSIT CCTV AND SECURITY SYSTEM				. 	       ",CLOSED,GS   (GEN SERV),,2021/06/08 00:00:00+00,10661.69,10181.69,35743,"ALLTEK SECURITY, INC",133
135,91100183,AUTO BODY SHOP REPAIR                             ,CLOSED,GS   (GEN SERV),,2010/07/16 00:00:00+00,0,0,9088,"RUSSELL'S PAINT AND BODY, LLC",134
136,91900049,LEASE OF PARKING LOT 50 ASHELAND AVENUE           ,CLOSED,LS   (LEASE SVCS),,2020/08/10 00:00:00+00,17499,128326,30209,"HAROLD A. TALBERT, JR. IRREVOCABLE TRUST",135
137,92000436,AGILE ASSETS PAVEMENT ANALYST SOFTWARE            ,POSTED,GS   (GEN SERV),,2022/02/10 00:00:00+00,15000,37000,34502,AGILEASSETS INC,136
138,91500063,POLICE ID BUREAU- CONT SERVICES FOR FY 2014-15    ,CLOSED,GENERAL,,2016/06/15 00:00:00+00,424188,424188,416,BUNCOMBE COUNTY FINANCE DEPT,137
139,91600168,SUPPORT FOR MAXIMO APPLICATION                    ,CLOSED,GS   (GEN SERV),,2019/10/31 00:00:00+00,20000,6562.5,11749,"STARBOARD CONSULTING, LLC.",138
140,91800388,POOL MAINTENANCE AND REPAIR AT REC PARK & WALTON  ,CLOSED,CON  (CONSTUCT/R),,2018/07/20 00:00:00+00,19300,28000,13352,"LEGACY COMMERCIAL POOL SERVICES, INC.",139
