OBJECTID,objectid_1,vendor_name,vendor_city,vendor_state,vendor_zip_code,vendor_id
111,111,CALTOPO,TRUCKEE,CA,96161,37856
112,112,CITY OF HENDERSONVILLE,HENDERSONVILLE,NC,28792,12363
113,113,"PARKER, JAMES ANDREW",GREENVILLE,SC,29601,28015
114,114,ALLGOOD COFFEE INC,WEAVERVILLE,NC,28787,28264
115,115,21 C MUSEUM HOTEL,DURHAM,NC,27701,28596
116,116,WASHINGTON COURT HOTEL,WASHINGTON,DC,20001,31264
117,117,CARLUSE BAIRD,ASHEVILLE,NC,28806-9102,38589
118,118,KNIFE COUNTRY USA,HOLLY,MI,48442,38921
119,119,BUCHANAN PUMP SERVICE AND SUPPLY COMPANY,POUND,VA,24279,24182
120,120,ESAFETY SUPPLIES INC,CITY OF INDUS,CA,91746,26687
121,121,HENDERSON COUNTY BOARD OF EDUCATION,HENDERSONVILLE,NC,28739,27268
122,122,SLEEP INN,WAKE FOREST,NC,27587,27514
123,123,HACH COMPANY,LOVELAND,CO,80539-0389,10016
124,124,"GENERAL EQUIPMENT RENTAL,LLC",WEAVERVILLE,NC,28787,6229
125,125,BILLY DUNCAN,SWANNANOA,NC,28778,10889
126,126,SP   TRIBUTE,6468478148,NY,11211,34902
127,127,ATLASSIAN,NA,NL,1016,35234
128,128,HOLIDAY INN RALEIGH ST,RALEIGH,NC,27603,26873
129,129,WESTERN SIZZLIN Q99,SPRUCE PINE,NC,28777,27328
130,130,TARHEEL CONTRACTORS SU,ROCK HILL,SC,297306339,27623
131,131,SUPERIOR TURBO & INJEC,DETROIT,MI,48210,27660
132,132,AMERICAN STORMWATER IN,ABINGDON,MD,21009,33574
133,133,CLASSROOM ESSENTIALS O,HOLLY SPRINGS,GA,30115,33611
134,134,A. TYLER ST. CLAIR  ,LYNCHBURG,VA,24504,23541
135,135,"SIMPLE COM TOOLS, LLC",INDIAN TRAIL,NC,28079,24869
136,136,CRVA,CHARLOTTE,NC,28202,26000
137,137,MILLER SUPPLY COMPANY,LAURINBURG,NC,28352,1752
138,138,KORMAN SIGNS,RICHMOND,VA,23228,1503
139,139,CONNOR SPORTS FLOORING,AMASA,MI,49903,29137
140,140,MURPHY6515ATWALMART,POOLER,GA,31322,32137
141,141,PROJECT N95 INC.,ESSEX,VT,05452,38048
142,142,"NOCIK, HALEY        ",FLETCHER,NC,28732,25307
143,143,NCRTA.ORG,MORGANTON,NC,28655,25556
144,144,COURTYARD BY MARRIOTT,BOONE,NC,28607,25645
145,145,HOLIDAY INN EXPRESS,CHARLOTTE,NC,28217,27228
146,146,COUNTRY INN & SUITES,ROCKY MOUNT,NC,27804,28556
147,147,ROBERT BARRETT,ALEXANDER,NC,28701,8974
148,148,"GIANNETTI, ROBERT",ARDEN,NC,28704,11931
149,149,HOBBY LOBBY #723,ARDEN,NC,28704,26581
150,150,WONDERSHARE,LONDON,GB,NW107PN,33073
151,151,LIFE CHANGING PRODUC,RISHON LEZION,IS,7531700,34407
152,152,BREEZE ATMS LLC,ASHEVILLE,NC,28803,38729
153,153,"BROWN, CHANDLER",ALEXANDER,NC,28701,25599
154,154,"UTTER, BRUCE",FLETCHER,NC,28732,25602
155,155,A & B CLEANING SERVICE INC,GREENVILLE,NC,27858,25848
156,156,BATTERY BROKERS LLC,RANDOLPH,NJ,07869,28848
157,157,"DAVIS HARTMAN WRIGHT, PLLC",NEW BERN,NC,28560,31258
158,158,SIEMENS FAMILY LAW GRO,ASHEVILLE,NC,28801,31845
159,159,JONATHAN J. NORWOOD,WILMINGTON,NC,28409,36422
160,160,"LAKE VIEW PARK COMMISSION,INC.",ASHEVILLE,NC,28814,38583
161,161,CANTON ANIMAL HOSPITAL,CANTON,NC,28716,10305
162,162,ENGAGING LOCAL GOV,WEST LINN,OR,97068,33027
163,163,SQ  107SHIRTS / SOWACH,ARDEN,NC,28704,36027
164,164,SP   MODERNO COLLECTIO,TORONTO,ON,M4B1A2,36322
165,165,UNITY MANUFACTURING CO,CHICAGO,IL,60610,36568
166,166,CANADIAN STANDARD ASSO,INDEPENDENCE,OH,44131,25207
167,167,BB  NC ARBORETUM,ASHEVILLE,NC,28806,25453
168,168,THE ESSEX RESORT - HOT,ESSEX JUNCTIO,VT,05452,25748
169,169,"MALLARD, GRETA KAY",WILMINGTON,NC,28411,27076
170,170,FAIRFIELD INN - GASTON,GASTONIA,NC,28054,29535
171,171,ABELES FAMILY RESTAURA,MORGANTON,NC,28655,30863
172,172,FISHER HYDRAULICS,SWANNANOA,NC,28778-2947,11656
173,173,SMITH &  FOX,ARDEN,NC,28704,19648
174,174,ZAVIAN ROBINSON-BROWN,ASHEVILLE,NC,28801,20312
175,175,PLASTERED TOURING LLC,ATLANTA,GA,30309,36462
176,176,HOLIDAY INN EXPRESS &,BRENTWOOD,TN,37027,38549
177,177,NENA,ALEXANDRIA,VA,22314,28304
178,178,RACETRAC455   00004556,CLAYTON,GA,30525,28470
179,179,CONCORD MILLS ALE HOUS,CONCORD,NC,28027,31885
180,180,HILTON PALMER HOUSE,CHICAGO,IL,606035608,32051
181,181,ABIGAIL BABEL,ASHEVILLE,NC,28803,34470
182,182,"PADDOCK CONSTRUCTION COMPANY, INC",ROCK HILL,SC,29731,34968
183,183,L.E. WOOTEN & CO.,RALEIGH,NC,27603,22376
184,184,POCIT,LONDON,LN,NW66SX,35987
185,185,CROSSROADS FORD OF INDIAN TRAIL INC,WAKE FOREST,NC,27588,37481
186,186,MISTKING,ESSEX,ON,N8M2X7,38194
187,187,SEEDSPARK LLC,CHARLOTTE,NC,282100000,23870
188,188,SENSIT TECHNOLOGIES LL,VALPARAISO,IN,46383,27331
189,189,SCREENFLEX PORTABLE PA,LAKE ZURICH,IL,60047,28825
190,190,IAP2 USA,THORNTON,CO,80602,29489
191,191,TOWN AND COUNTRY RESOR,SAN DIEGO,CA,92108,31032
192,192,BAGSINBULK,NEW YORK,NY,10001,35489
193,193,ACME OPERATIONS LLC,PIEDMONT,SC,29673,37338
194,194,HEWLETT-PACKARD COMPANY,ATLANTA,GA,30392-1149,9143
195,195,"MUELLER SYSTEMS, LLC",CLEVELAND,NC,27013,10139
196,196,AB  ABEBOOKS.CO J7PF9A,VICTORIA,BC,V9A6X5,38812
197,197,SHELL OIL 575415995QPS,MOCKSVILLE,NC,27028,28705
198,198,THOMAS SCIENTIFIC,SWEDESBORO,NJ,08085,29701
199,199,"DUKE ENERGY PROGRESS, LLC",CHARLOTTE,NC,28201-1003,30697
200,200,"SMARKING, INC",SAN FRANCISCO,CA,94103,31410
201,201,"KING ASPHALT, INC",LIBERTY,SC,29657,31742
202,202,"XYLEM WATER SOLUTIONS USA, INC.",CHARLOTTE,NC,28217,32406
203,203,POSTNET NC 117,ASHEVILLE,NC,28805,23086
204,204,THE DOUBLE TREE BY HIL,NEW BERN,NC,28560,25459
205,205,DOUBLETREE BY HILTON R,CARY,NC,27518,27451
206,206,HILTON GARDEN INN,ROCKVILLE,MD,20850,28164
207,207,ASSOCIATION OF METROPO,WASHINGTON,DC,20006,28496
208,208,AMY HINSLEY LURIE   ,ASHEVILLE,NC,28806,25224
209,209,IRON HEN CAFE - ASHVIL,ASHEVILLE,NC,28801,26641
210,210,WWW.RELIANTHIRING.COM,MANASSAS,VA,20110,36797
211,211,"STEVENS MARTIN VAUGHN & TADYCH, PLLC",RALEIGH,NC,27612,37461
212,212,WTS WESTERN NORTH CARO,BARNARDSVILLE,NC,28709,37716
213,213,INTERNATIONAL TRANSACTION,CITY,ST,0,37959
214,214,JERSEY MIKES ONLINE OR,MANASQUAN,NJ,08736,28141
215,215,STATION CHECK LLC,MACEDONIA,OH,44056,28805
216,216,FAIRFIELD INN,FAYETTEVILLE,NC,28312,31218
217,217,SP   ARMSTRONG DIST,TUSTIN,CA,92780,31716
218,218,NORFOLK SOUTHERN RAILWAY COMPANY,NORFOLK,VA,23510,33216
219,219,BOUNCEHOUSENOW.COM,LAKE NORMAN,NC,28037,34633
220,220,SIMPLEXGRINNELL,SPARTANBURG,SC,29301,7265
221,221,ASHEVILLE BOLT & SCREW INC,ASHEVILLE,NC,28813-5342,109
222,222,TERRY JOSHUA SKIDMORE,CANDLER,NC,28715,9263
223,223,ALEXANDER PHILLIP IRVINE,ASHEVILLE,NC,28806-3809,18626
224,224,MCDONALD'S F28957,WILLIAMSTON,NC,27892,35274
225,225,INTERNATIONAL TRANSACTION,CITY,ST,12345,35446
226,226,"DORCAS, MICHAEL E",HUNTERSVILLE,NC,28078,26790
227,227,OLD WEST IRON,FELT,ID,83424,32569
228,228,CREDIT FAST CARD FEE,ASHEVILLE,NC,00000,32575
229,229,ABEX EXHIBIT SYSTEMS,SAN FERNANDO,CA,91340,32741
230,230,GEORGIAN TERRACE HOTEL,ATLANTA,GA,30308,33239
231,231,IBM CORPORATION,PITTSBURGH,PA,15264-3600,3455
232,232,GREEN BUILT ALLIANCE,ASHEVILLE,NC,28816,10119
233,233,YMCA OF WESTERN NC,ASHEVILLE,NC,28801,10537
234,234,CABLEWHOLESALE,LIVERMORE,CA,94551,35254
235,235,MOTION ARRAY MONTHLY,WILMINGTON,DE,19801,36087
236,236,CHEMCO SYSTEMS LP,MONONGAHELA,PA,15063,36505
237,237,POLICE RECORDS MGMT,CORAL GABLES,FL,33134,38669
238,238,GEOMOBILE INNOVATIONS INC,CORVALLIS,OR,97339,28513
239,239,EMBASSY SUITES RALEIGH,CARY,NC,27513,29844
240,240,CRAFTSMAN BOOK COMPANY,CARLSBAD,CA,92011,30013
241,241,THE MERCANTILE HOTEL,NEW ORLEANS,LA,70130,33090
242,242,ATLASSIAN,NETHERLANDS,NL,1016,33259
243,243,"TWO C ENTERPRISES,LLC",ASHEVILLE,NC,28816,34590
244,244,"TRAUMA INTERVENTION PROGRAMS, INC.",TUSTIN,CA,92782,23770
245,245,MAX & ERMA'S CROWNE PL,COLUMBUS,OH,43215,25934
246,246,HOLIDAY EXPRESS,CHAPEL HILL,NC,27517,26767
247,247,ACCESS - INMATE PACKAG,ST LOUIS,MO,63132,27849
248,248,NORTH CAROLINA FIRE FIGHTER'S INSURANCE PROVIDERS,MT. GILEAD,NC,27306,17842
249,249,SEON DESIGN INC,COQUITLAM,BC,V3K7B2,34490
250,250,ANDERSON BOLDS,BEACHWOOD,OH,44122,37195
251,251,"TLG OPERATIONS,LLC",SPRINGFIELD,MO,65810,37318
252,252,"FRED H. BECK & ASSOCIATES, LLC",CHARLOTTE,NC,28201-0229,37859
253,253,12VOLT-TRAVEL.COM,LINESVILLE,PA,16424,25244
254,254,TROPHIES BY EDCO INC,FT LAUDERDALE,FL,33312,25957
255,255,"BRADY, CANDACE JESSICA",FLETCHER,NC,28732,27998
256,256,SURGENT MCCOY SELF STU,DEVON,PA,193331592,29203
257,257,TOWNEPLACE SUITES,BAY LAKE,FL,34787,31908
258,258,MOSS SIGN COMPANY,ASHEVILLE,NC,28813,1832
259,259,SUBURBAN PROPANE LP,WHIPPANY,NJ,07981,21978
260,260,COMPANY WRENCH,AIKEN,SC,29805,25144
261,261,COGNITO LLC,COLUMBIA,SC,29201,33800
262,262,SWIM CLUB MANAGEMENT GROUP OF CHARLOTTE,HUNTERSVILLE,NC,28078,34962
263,263,BESTCANVAS INC,MIAMI,FL,33167,37132
264,264,"CAROLINA CARPETS,LLC",HENDERSONVILLE,NC,28792,37381
265,265,JAMES JEFFREY WILSON,FAIRVIEW,NC,28730,37630
266,266,COLUMBIA SPORTSWEAR 41,PORTLAND,OR,97229,28725
267,267,"CODEVELOP ARCHITECTURE AND PLANNING, PLLC",ASHEVILLE,NC,28816,29472
268,268,JACQUELINE M. HUNDT,CLEMMONS,NC,27012,30385
269,269,MEAD DIRECT RESPONSE,LAKE ZURICH,IL,60047,30883
270,270,CLAIM ADJ/VICTORIASSECRET,NA,NA,43068,32804
271,271,INTERNATIONAL TRANSACTION,N/A,N/,n/a,33053
272,272,"JOHNSON CONTROLS, INC.",MILWAUKEE,WI,53209,5519
273,273,JEANNINE CASSELL,MOORESVILLE,NC,28117,20710
274,274,SP   TWELVE SOUTH,CHARLESTON,SC,29405,32698
275,275,"BRINKS, INC.",COPPELL,TX,75019,33159
276,276,USABA,COLORADO SPRINGS,CO,80903,33196
277,277,FAIRFIELD INN & SUITES,KNOXVILLE,TN,37914,33694
278,278,PHOTO VIBRANCE - COMM,LONDON,LN,EC2M5QQ,38649
279,279,NATIONAL REGISTRY EMT,COLUMBUS,OH,432291740,27159
280,280,HOLIDAY INN EXPRESS &,KENNESAW,GA,30144,28370
281,281,HOLIDAY INN EXPRESS,KERNERSVILLE,NC,27284,28868
282,282,"INNOVYZE, INC",PORTLAND,OR,97219,29366
283,283,CHAR BAR 7,ASHEVILLE,NC,28803,29864
284,284,WHENTOWORK INC,TUSTIN,CA,92780,30989
285,285,"MILL END ENTERPRISES, INC",CANDLER,NC,28715,9206
286,286,"BABAK'S IRON & ART, LLC",ASHEVILLE,NC,28805,20604
287,287,"APEX SYSTEMS, LLC",CHICAGO,IL,60693,23850
288,288,CAROLINA FORKLIFT EQUI,NORFOLK,VA,23513,29850
289,289,HYATT PLACE CHAPEL HIL,CHAPEL HILL,NC,27517,33339
290,290,SOUNDVIEW EXEC SUMMS,KENNETT SQUARE,PA,19348,34178
291,291,SP   S.O.TECH TACTICAL,CARSON,CA,90746,35260
292,292,CLAIM ADJ/AMZN MKTP US M4,CITY,ST,00000,36256
293,293,SPORTS TURF MANAGERS,LAWRENCE,KS,66044,38506
294,294,WORKPLACE INTEGRA HEARING,GREENSBORO,NC,27410,6352
295,295,HALL'S TOWING & RECOVERY INC.,BLACK MOUNTAIN,NC,28711,5897
296,296,NC JUSTICE ACADEMY,SALEMBURG,NC,283850099,10225
297,297,MONARCH WATCH,LAWRENCE,KS,66047,30242
298,298,MOMENTS COFFEE BAR AND,SWANNANOA,NC,28778,32320
299,299,MIDTOWNUMBRELLAS.COM,SUNNY ISLES,FL,33160,37189
300,300,BLACKLIGHTCOM,ROUND LAKE,IL,60073,26996
301,301,DETAIL SHOP OF BLACK M,BLACK MTN,NC,28711,27992
302,302,CCCD,ASHEVILLE,NC,28801,25230
303,303,"SMARTSHEET, INC",DALLAS,TX,75312-3421,27892
304,304,WEB NETWORKSOLUTIONS,JACKSONVILLE,FL,32258,29309
305,305,AUTOMOTIVE LIFT IN,CORTLAND,NY,13045,29801
306,306,"SUMMIT ENGINEERING GROUP OF N.C., INC.",SPARTANBURG,SC,29301,36050
307,307,WEF MAIN,ALEXANDRIA,VA,22314,37965
308,308,ASHEVILLE FIRE PROTECTION CO I,ASHEVILLE,NC,28816,6103
309,309,ARMEN CONSTRUCTION LLC.,CHARLOTTE,NC,28278,10431
310,310,"LAMKIN, JOHN",ASHEVILLE,NC,28806,19628
311,311,NEW YORK TIMES DIGITAL,NEW YORK,NY,10018,34235
312,312,TRAFFIC SAFETY CORP,SACRAMENTO,CA,95822,35901
313,313,INTERNATIONAL TRANSACTION,CITY,ST,12345,36442
314,314,GC IRON.COM LLC.,HOLLYWOOD,FL,33020,38065
315,315,MTN MERCH,ASHEVILLE,NC,28803,38563
316,316,WONSON GLOBAL ENTERPRI,VANCOUVER,BC,V5R5W2,38606
317,317,ROTO-ROOTER ASHEVILLE,ARDEN,NC,28704,25081
318,318,NATIONAL POWER CORP,RALEIGH,NC,27616,25579
319,319,WAITSTUFF UNIFORMS,PRESCOTT,AZ,86301,27245
320,320,DAIRY ONE COOPERATIV,ITHACA,NY,14850,29907
321,321,KANTOLA PRODUCTIONS,MILL VALLEY,CA,94941,29950
322,322,ROUTEWARE CANADA,VANCOUVER,BC,V5Z 4R3,32612
323,323,SHARE CORPORATION,MILWAUKEE,WI,53224,7869
324,324,NC ASSOCIATION OF POLICE ATTORNEYS NCAPA,CHARLOTTE,NC,28202,11115
325,325,GRANT PROFESSIONALS AS,OVERLAND PARK,KS,66210,30348
326,326,ZUMA OFFICE SUPPLY,AUSTIN,TX,78732,31430
327,327,TEAM TSI LLC,OVIEDO,FL,32762,32512
328,328,CAROLINA OPHTHALMOLOGY,HENDERSONVILLE,NC,28791,36591
329,329,CLAIM ADJ/SQ  CHEROKEE SE,PTIC TA,ST,28906,38755
330,330,PETER HUBER         ,SARASOTA,FL,34241,24938
331,331,BIG HUG LLC,BLOOMFIELD HILLS,MI,48304,26020
332,332,GEORGE PATTON ASSOCIAT,BRISTOL,RI,02809,26853
333,333,CITY ELECTRIC #221,ASHEVILLE,NC,28803,27935
334,334,NATIONAL AFTER SCHOOL,OAKTON,VA,22124,29266
335,335,STAR - OSCO #3588,BOSTON,MA,02215,30099
336,336,GASPERSON MOVING & STORAGE,ASHEVILLE,NC,28804,11264
337,337,"INNER VISIONS ENTERTAINMENT, LLC", ST. JOHN,,00831,10723
338,338,AUTHORIZED COMMERCIAL,CHARLOTTE,NC,28208,26412
339,339,GERALDINE S,ASHEVILLE,NC,28804,33445
340,340,SUPERIOR LIGHTING,FORT LAUDERDALE,FL,33309,35609
341,341,"RESULTANT, LLC",INDIANAPOLIS,IN,46240,37232
342,342,LOS NENES BAKERY,ASHEVILLE,NC,28806,38314
343,343,TUSCANY LAS VEGAS,LAS VEGAS,NV,89169,38855
344,344,STREETSIDEAUTO.COM,KANSAS CITY,KS,66105,26953
345,345,ARMSTRONG MEDICAL,LINCOLNSHIRE,IL,600693616,27494
346,346,IREM Western NC Cha,CHARLOTTE,NC,28211,29117
347,347,NATIONS PHOTO LAB,COCKEYSVILLE,MD,21031,30740
348,348,QUALITY INN & SUITES,THOMASVILLE,NC,27360,31822
349,349,BOSCH AUTOMOTIVE SERVI,WARREN,MI,48092,32904
350,350,EATON ELECTRICAL,CHICAGO,IL,60673-3531,7660
351,351,SAFEWARE INC,LANHAM,MD,20706,6000
352,352,"VAUGHN & MELTON CONSULTING ENGINEERS,INC.",ASHEVILLE,NC,28806-1721,2751
353,353,"MED-EXPRESS, INC.",ARDEN,NC,28704,11573
354,354,AMAZON.COM MT9LX4OM2 A,SEATTLE,WA,98109,30806
355,355,DEL VECCHIOSEATSTREET,MADISON,WI,53703,32134
356,356,COMIC ENVY,ASHEVILLE,NC,28805,32466
357,357,EDRAWSOFT,MANCHESTER,GB,M15AN,36379
358,358,"ALTIRNAO, INC       ",SAN FRANCISCO,CA,94108,24640
359,359,"GAUTREAUX, NATALIE",ASHEVILLE,NC,28806,27889
360,360,"MCGUIRE WOODS, LLP",CHARLOTTE,NC,28232,17169
361,361,HYATT HOTELS BALTIMORE,BALTIMORE,MD,21202,26870
362,362,330-871-4357 TOYS/MINI,WOODBINE,GA,31569,27866
363,363,RECREATION.GOV,ALBUQUERQUE,NM,87109,31825
364,364,INTERNATIONAL TRANSACTION,ATLASSIAN B.V,NL,,32489
365,365,SP   OAK BAY STORE,LOS ANGELES,CA,90025,32821
366,366,EGODITOR UG  HAFTUNGSB,BIEFELED,DE,33609,34032
367,367,TREMCO INC,SHAKER HEIGHTS,OH,44122,34364
368,368,"MOUNTAIN CHILD ADVOCACY CENTER, INC.",ASHEVILLE,NC,28803,9203
369,369,LEOTEK ELECTRONICS,SAN JOSE,CA,95131,8871
370,370,JET UP PRODUCTIONS,ASHEVILLE,NC,28806,37089
371,371,LAKESHA  F  MCDAY,ARDEN,NC,28704,37421
372,372,PROGRESSIVE SPLTY GLAS,PLAINVILLE,CT,06062,29432
373,373,PITTSBORO VALERO,PITTSBORO,NC,27312,29764
374,374,MARRIOTT WINSTON SALEM,WINSTON SALEM,NC,27101,30096
375,375,UNION TAXI COOPERATIVE,DENVER,CO,80239,31092
